Rank,Model,Aver,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Precision,Nparam,model_link
939,WizardLM/WizardMath-7B-V1.0,45.44,54.1,79.55,45.97,43.65,72.69,2.73,19.41,fine-tuned,16bit,6.61,https://huggingface.co/WizardLM/WizardMath-7B-V1.0
940,Lazycuber/L2-7b-Orca-WVG-Test,45.39,54.86,78.25,51.13,43.68,74.35,8.04,7.44,fine-tuned,16bit,6.61,https://huggingface.co/Lazycuber/L2-7b-Orca-WVG-Test
941,TheBloke/stable-vicuna-13B-HF,45.36,53.33,78.5,50.29,48.38,75.22,4.09,7.74,RL-tuned,16bit,12.85,https://huggingface.co/TheBloke/stable-vicuna-13B-HF
942,meta-llama/Llama-2-7b-chat-hf,45.36,52.9,78.55,48.32,45.57,71.74,7.35,13.09,RL-tuned,16bit,6.74,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf
943,LTC-AI-Labs/L2-7b-Base-test-WVG,45.35,54.27,77.81,51.07,46.28,73.56,6.97,7.48,fine-tuned,16bit,6.61,https://huggingface.co/LTC-AI-Labs/L2-7b-Base-test-WVG
944,synapsoft/Llama-2-7b-chat-hf-flan2022-1.2M,45.35,49.57,76.25,45.99,42.17,71.82,1.52,30.12,instruction-tuned,16bit,6.74,https://huggingface.co/synapsoft/Llama-2-7b-chat-hf-flan2022-1.2M
945,davzoku/cria-llama2-7b-v1.3,45.34,52.73,78.58,48.3,45.58,71.9,8.49,11.77,instruction-tuned,16bit,6.61,https://huggingface.co/davzoku/cria-llama2-7b-v1.3
946,rombodawg/LosslessMegaCoder-llama2-7b-mini,45.33,53.5,77.38,49.72,45.77,74.03,9.55,7.34,instruction-tuned,16bit,6.61,https://huggingface.co/rombodawg/LosslessMegaCoder-llama2-7b-mini
947,nkpz/llama2-22b-daydreamer-v3,45.31,56.06,80.07,52.49,42.43,73.48,3.79,8.85,fine-tuned,16bit,21.62,https://huggingface.co/nkpz/llama2-22b-daydreamer-v3
948,ashercn97/manatee-7b,45.29,54.52,78.95,49.26,46.77,74.51,7.05,5.99,fine-tuned,16bit,6.61,https://huggingface.co/ashercn97/manatee-7b
949,Charlie911/vicuna-7b-v1.5-lora-mctaco,45.28,45.65,75.65,49.27,43.12,69.93,4.47,28.85,fine-tuned,16bit,6.61,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mctaco
950,jondurbin/airoboros-7b-gpt4-1.1,45.26,54.61,80.15,39.25,41.22,73.09,3.11,25.37,fine-tuned,16bit,6.61,https://huggingface.co/jondurbin/airoboros-7b-gpt4-1.1
951,lmsys/vicuna-7b-v1.5-16k,45.24,54.69,77.32,49.51,50.41,71.11,6.44,7.16,fine-tuned,16bit,6.61,https://huggingface.co/lmsys/vicuna-7b-v1.5-16k
952,jondurbin/airoboros-7b-gpt4,45.23,53.07,78.69,38.9,40.72,73.09,1.74,30.39,fine-tuned,16bit,6.61,https://huggingface.co/jondurbin/airoboros-7b-gpt4
953,TheBloke/airoboros-7b-gpt4-fp16,45.22,53.07,78.67,38.88,40.73,73.09,1.74,30.39,fine-tuned,16bit,6.61,https://huggingface.co/TheBloke/airoboros-7b-gpt4-fp16
954,lmsys/vicuna-7b-v1.3,45.22,50.43,76.92,48.14,47.01,70.48,5.69,17.89,fine-tuned,16bit,6.61,https://huggingface.co/lmsys/vicuna-7b-v1.3
955,elliotthwang/Elliott-Chinese-LLaMa-GPTQ,45.21,51.02,75.23,49.58,45.09,72.61,17.21,5.71,fine-tuned,16bit,53.9,https://huggingface.co/elliotthwang/Elliott-Chinese-LLaMa-GPTQ
956,TheBloke/koala-13B-HF,45.16,52.99,77.59,45.32,50.23,74.03,6.82,9.11,fine-tuned,16bit,12.85,https://huggingface.co/TheBloke/koala-13B-HF
957,frank098/WizardLM_13B_juniper,45.16,55.38,77.2,45.46,51.5,71.11,8.04,7.44,fine-tuned,16bit,12.85,https://huggingface.co/frank098/WizardLM_13B_juniper
958,lmsys/vicuna-7b-v1.5-16k,45.11,54.18,77.31,49.3,50.35,71.03,6.37,7.24,fine-tuned,16bit,6.61,https://huggingface.co/lmsys/vicuna-7b-v1.5-16k
959,golaxy/gowizardlm,45.1,49.74,71.9,42.96,47.66,69.61,3.94,29.85,pretrained,16bit,6.76,https://huggingface.co/golaxy/gowizardlm
960,haoranxu/ALMA-13B-Pretrain,45.1,56.91,80.15,50.31,37.44,76.4,8.87,5.58,fine-tuned,16bit,12.85,https://huggingface.co/haoranxu/ALMA-13B-Pretrain
961,jondurbin/airoboros-l2-7b-2.2.1,45.1,55.03,80.06,47.64,44.65,73.8,6.14,8.4,instruction-tuned,16bit,6.61,https://huggingface.co/jondurbin/airoboros-l2-7b-2.2.1
962,Korabbit/Llama-2-7b-chat-hf-afr-100step-v2,45.06,52.65,78.25,48.47,45.18,72.3,8.49,10.11,instruction-tuned,16bit,7.0,https://huggingface.co/Korabbit/Llama-2-7b-chat-hf-afr-100step-v2
963,TheTravellingEngineer/llama2-7b-chat-hf-dpo,45.06,53.67,78.79,46.78,43.97,71.74,7.35,13.09,fine-tuned,16bit,6.61,https://huggingface.co/TheTravellingEngineer/llama2-7b-chat-hf-dpo
964,facebook/opt-iml-max-30b,45.06,43.86,72.39,41.09,38.16,73.72,2.5,43.7,,16bit,29.98,https://huggingface.co/facebook/opt-iml-max-30b
965,Lajonbot/vicuna-7b-v1.5-PL-lora_unload,45.05,53.5,76.74,49.69,49.68,71.98,7.2,6.54,fine-tuned,16bit,6.61,https://huggingface.co/Lajonbot/vicuna-7b-v1.5-PL-lora_unload
966,OpenBuddy/openbuddy-openllama-13b-v7-fp16,45.05,47.61,72.24,47.74,48.73,69.69,9.86,19.49,fine-tuned,16bit,12.89,https://huggingface.co/OpenBuddy/openbuddy-openllama-13b-v7-fp16
967,camel-ai/CAMEL-13B-Role-Playing-Data,45.03,54.95,79.25,46.61,46.35,74.03,7.35,6.66,fine-tuned,16bit,12.85,https://huggingface.co/camel-ai/CAMEL-13B-Role-Playing-Data
968,NewstaR/Koss-7B-chat,44.98,53.67,78.79,46.72,43.97,71.74,7.35,12.62,fine-tuned,16bit,6.61,https://huggingface.co/NewstaR/Koss-7B-chat
969,medalpaca/medalpaca-7b,44.98,54.1,80.42,41.47,40.46,71.19,3.03,24.21,fine-tuned,16bit,6.61,https://huggingface.co/medalpaca/medalpaca-7b
970,LTC-AI-Labs/L2-7b-Hermes-WVG-Test,44.97,54.95,78.48,48.36,45.72,74.74,5.84,6.7,fine-tuned,16bit,6.61,https://huggingface.co/LTC-AI-Labs/L2-7b-Hermes-WVG-Test
971,chargoddard/llama-2-26b-trenchcoat-stack,44.96,55.03,79.9,53.73,40.48,74.74,2.88,7.96,pretrained,16bit,25.7,https://huggingface.co/chargoddard/llama-2-26b-trenchcoat-stack
972,LTC-AI-Labs/L2-7b-Synthia-WVG-Test,44.95,55.97,77.89,49.48,44.11,74.11,5.91,7.14,fine-tuned,16bit,6.61,https://huggingface.co/LTC-AI-Labs/L2-7b-Synthia-WVG-Test
973,psyche/kollama2-7b-v2,44.91,53.33,78.5,43.61,46.37,75.61,6.52,10.4,instruction-tuned,16bit,6.61,https://huggingface.co/psyche/kollama2-7b-v2
974,guardrail/llama-2-7b-guanaco-instruct-sharded,44.87,53.75,78.69,46.65,43.93,72.61,7.81,10.65,instruction-tuned,16bit,6.74,https://huggingface.co/guardrail/llama-2-7b-guanaco-instruct-sharded
975,starmpcc/Asclepius-Llama2-13B,44.85,55.89,79.66,52.38,40.76,72.69,0.15,12.42,instruction-tuned,16bit,13.0,https://huggingface.co/starmpcc/Asclepius-Llama2-13B
976,huggingface/llama-13b,44.83,56.23,80.93,47.67,39.48,76.24,7.58,5.66,pretrained,16bit,13.02,https://ai.facebook.com/blog/large-language-model-llama-meta-ai/
977,totally-not-an-llm/EverythingLM-13b-V3-16k,44.82,58.19,80.12,50.48,45.18,70.72,1.97,7.06,fine-tuned,16bit,12.85,https://huggingface.co/totally-not-an-llm/EverythingLM-13b-V3-16k
978,huggyllama/llama-13b,44.81,56.14,80.92,47.61,39.48,76.24,7.58,5.66,pretrained,16bit,13.02,https://huggingface.co/huggyllama/llama-13b
979,AlekseyKorshuk/vic15-exp-syn-fight-cp3838,44.8,51.79,75.79,50.23,49.61,71.82,6.6,7.78,fine-tuned,16bit,6.61,https://huggingface.co/AlekseyKorshuk/vic15-exp-syn-fight-cp3838
980,TehVenom/Pygmalion-13b-Merged,44.8,56.48,80.02,42.93,35.86,75.53,0.08,22.67,fine-tuned,16bit,12.85,https://huggingface.co/TehVenom/Pygmalion-13b-Merged
981,jordiclive/gpt4all-alpaca-oa-codealpaca-lora-13b,44.8,56.14,80.93,47.66,39.48,76.16,7.58,5.64,fine-tuned,16bit,13.0,https://huggingface.co/jordiclive/gpt4all-alpaca-oa-codealpaca-lora-13b
982,Norquinal/llama-2-7b-claude-chat-rp,44.78,54.95,80.05,47.03,43.47,74.74,7.28,5.94,fine-tuned,16bit,6.61,https://huggingface.co/Norquinal/llama-2-7b-claude-chat-rp
983,Danielbrdz/Barcenas-7b,44.77,55.12,77.4,49.27,43.64,73.64,6.14,8.17,fine-tuned,16bit,6.61,https://huggingface.co/Danielbrdz/Barcenas-7b
984,TheBloke/Wizard-Vicuna-7B-Uncensored-HF,44.77,53.41,78.85,37.09,43.48,72.22,4.55,23.8,fine-tuned,16bit,6.61,https://huggingface.co/TheBloke/Wizard-Vicuna-7B-Uncensored-HF
985,ehartford/Wizard-Vicuna-7B-Uncensored,44.77,53.41,78.85,37.09,43.48,72.22,4.55,23.8,fine-tuned,16bit,6.61,https://huggingface.co/ehartford/Wizard-Vicuna-7B-Uncensored
986,maximuslee07/llama-2-7b-rockwell-final,44.77,52.73,79.1,47.88,47.21,68.43,7.96,10.06,fine-tuned,16bit,6.61,https://huggingface.co/maximuslee07/llama-2-7b-rockwell-final
987,davzoku/cria-llama2-7b-v1.3_peft,44.74,51.45,77.35,46.47,45.52,70.8,6.75,14.82,instruction-tuned,4bit,7.0,https://huggingface.co/davzoku/cria-llama2-7b-v1.3_peft
988,bofenghuang/vigogne-7b-instruct,44.7,51.96,78.11,38.43,42.47,72.85,2.73,26.32,fine-tuned,16bit,6.61,https://huggingface.co/bofenghuang/vigogne-7b-instruct
989,speechlessai/speechless-codellama-dolphin-orca-platypus-13b,44.67,45.82,67.71,45.88,44.67,65.35,8.49,34.77,fine-tuned,16bit,12.85,https://huggingface.co/speechlessai/speechless-codellama-dolphin-orca-platypus-13b
990,CalderaAI/13B-Ouroboros,44.66,57.42,82.11,51.43,47.99,57.85,0.45,15.36,fine-tuned,16bit,12.85,https://huggingface.co/CalderaAI/13B-Ouroboros
991,PygmalionAI/pygmalion-2-7b,44.66,54.01,78.23,49.11,43.78,75.14,6.37,5.98,fine-tuned,16bit,6.74,https://huggingface.co/PygmalionAI/pygmalion-2-7b
992,ehartford/Samantha-1.11-7b,44.65,55.03,79.12,40.51,50.37,74.19,7.2,6.1,RL-tuned,16bit,6.61,https://huggingface.co/ehartford/Samantha-1.11-7b
993,keyfan/vicuna-chinese-replication-v1.1,44.65,42.83,71.47,47.47,47.24,67.4,9.48,26.69,fine-tuned,16bit,12.94,https://huggingface.co/keyfan/vicuna-chinese-replication-v1.1
994,HWERI/Llama2-7b-sharegpt4,44.64,55.72,80.94,47.47,48.34,71.19,2.65,6.14,fine-tuned,16bit,6.61,https://huggingface.co/HWERI/Llama2-7b-sharegpt4
995,beaugogh/Llama2-7b-sharegpt4,44.64,55.72,80.94,47.47,48.34,71.19,2.65,6.14,fine-tuned,16bit,6.61,https://huggingface.co/beaugogh/Llama2-7b-sharegpt4
996,Mikael110/llama-2-7b-guanaco-fp16,44.6,54.86,79.65,46.38,43.83,75.22,6.29,5.99,fine-tuned,16bit,6.61,https://huggingface.co/Mikael110/llama-2-7b-guanaco-fp16
997,jondurbin/airoboros-l2-7b-gpt4-m2.0,44.6,50.51,76.87,45.35,41.34,69.53,4.09,24.48,fine-tuned,16bit,6.61,https://huggingface.co/jondurbin/airoboros-l2-7b-gpt4-m2.0
998,Delcos/Mistral-Pygmalion-7b,44.58,54.44,78.48,49.23,41.82,75.3,6.82,5.94,fine-tuned,16bit,6.61,https://huggingface.co/Delcos/Mistral-Pygmalion-7b
999,mncai/chatdoctor,44.56,53.75,78.54,35.95,43.55,69.93,0.0,30.17,fine-tuned,16bit,6.61,https://huggingface.co/mncai/chatdoctor
1000,joehuangx/spatial-vicuna-7b-v1.5-LoRA,44.55,50.77,74.63,48.13,49.36,72.38,6.9,9.72,fine-tuned,4bit,7.0,https://huggingface.co/joehuangx/spatial-vicuna-7b-v1.5-LoRA
1001,Norquinal/llama-2-7b-claude-chat,44.54,54.44,80.66,46.74,41.39,74.9,7.73,5.89,fine-tuned,16bit,6.61,https://huggingface.co/Norquinal/llama-2-7b-claude-chat
1002,PeanutJar/LLaMa-2-PeanutButter_v18_B-7B,44.53,54.61,81.0,47.07,41.93,74.51,6.52,6.1,instruction-tuned,16bit,7.0,https://huggingface.co/PeanutJar/LLaMa-2-PeanutButter_v18_B-7B
1003,dfurman/llama-2-7b-instruct-peft,44.5,51.19,78.92,46.63,48.5,74.43,5.99,5.82,fine-tuned,16bit,7.0,https://huggingface.co/dfurman/llama-2-7b-instruct-peft
1004,meta-llama/Llama-2-7b-hf,44.48,53.07,78.59,46.87,38.76,74.03,14.48,5.59,pretrained,16bit,6.74,https://huggingface.co/meta-llama/Llama-2-7b-hf
1005,Charlie911/vicuna-7b-v1.5-lora-timedial-unit-080082,44.47,52.82,76.07,50.47,43.54,73.72,7.81,6.89,fine-tuned,16bit,6.61,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-timedial-unit-080082
1006,golaxy/gogpt2-13b,44.47,48.38,71.78,44.5,44.73,67.88,2.05,32.0,fine-tuned,16bit,13.04,https://huggingface.co/golaxy/gogpt2-13b
1007,sia-ai/llama-2-7b-1-percent-open-orca-1000-steps-v0,44.47,51.28,78.75,44.68,45.83,74.11,2.73,13.88,fine-tuned,16bit,6.61,https://huggingface.co/sia-ai/llama-2-7b-1-percent-open-orca-1000-steps-v0
1008,golaxy/gogpt2-7b,44.46,46.76,71.53,42.85,47.85,68.67,2.27,31.28,fine-tuned,16bit,6.76,https://huggingface.co/golaxy/gogpt2-7b
1009,Charlie911/vicuna-7b-v1.5-lora-timedial-unit-080091,44.44,52.82,76.1,50.58,43.4,73.72,7.66,6.78,fine-tuned,16bit,6.61,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-timedial-unit-080091
1010,golaxy/gogpt-7b,44.44,48.81,73.79,43.03,41.0,69.77,1.9,32.76,fine-tuned,16bit,6.76,https://huggingface.co/golaxy/gogpt-7b
1011,uukuguy/speechless-codellama-orca-13b,44.43,46.33,67.71,47.19,46.66,63.77,5.99,33.34,fine-tuned,16bit,12.85,https://huggingface.co/uukuguy/speechless-codellama-orca-13b
1012,922-CA/monika-ddlc-7b-v1,44.42,54.95,76.78,45.61,43.94,72.85,8.79,7.99,fine-tuned,16bit,7.0,https://huggingface.co/922-CA/monika-ddlc-7b-v1
1013,YeungNLP/firefly-llama2-13b-pretrain,44.41,53.92,79.1,51.25,36.24,75.53,8.57,6.27,fine-tuned,16bit,12.97,https://huggingface.co/YeungNLP/firefly-llama2-13b-pretrain
1014,revolutionarybukhari/Llama-2-7b-chat-finetune-AUTOMATE,44.41,53.07,75.59,48.8,44.73,73.24,8.64,6.77,fine-tuned,16bit,7.0,https://huggingface.co/revolutionarybukhari/Llama-2-7b-chat-finetune-AUTOMATE
1015,uukuguy/speechless-codellama-dolphin-orca-platypus-13b,44.41,44.8,68.6,44.03,46.28,66.93,9.55,30.68,fine-tuned,16bit,12.85,https://huggingface.co/uukuguy/speechless-codellama-dolphin-orca-platypus-13b
1016,LTC-AI-Labs/Guanaco-Vicuna-7B-L2,44.38,53.24,78.89,46.77,42.75,75.37,7.96,5.68,fine-tuned,16bit,6.61,https://huggingface.co/LTC-AI-Labs/Guanaco-Vicuna-7B-L2
1017,edor/Platypus2-mini-7B,44.38,53.33,78.81,45.58,42.0,75.14,6.22,9.62,fine-tuned,16bit,6.61,https://huggingface.co/edor/Platypus2-mini-7B
1018,PeanutJar/LLaMa-2-PeanutButter_v10-7B,44.35,55.29,81.69,46.97,43.78,70.88,5.91,5.93,instruction-tuned,16bit,7.0,https://huggingface.co/PeanutJar/LLaMa-2-PeanutButter_v10-7B
1019,TehVenom/Pygmalion_AlpacaLora-7b,44.27,53.24,76.92,35.92,39.44,72.22,1.21,30.91,fine-tuned,16bit,6.61,https://huggingface.co/TehVenom/Pygmalion_AlpacaLora-7b
1020,wahaha1987/llama_7b_sharegpt94k_fastchat,44.25,53.24,76.94,44.64,45.34,70.64,4.32,14.66,fine-tuned,16bit,6.61,https://huggingface.co/wahaha1987/llama_7b_sharegpt94k_fastchat
1021,psmathur/orca_mini_v2_7b,44.24,50.77,76.02,39.5,43.86,71.43,2.88,25.23,fine-tuned,16bit,6.61,https://huggingface.co/psmathur/orca_mini_v2_7b
1022,jxhong/CAlign-alpaca-7b,44.22,50.94,74.55,38.56,46.89,72.06,1.36,25.15,fine-tuned,16bit,6.61,https://huggingface.co/jxhong/CAlign-alpaca-7b
1023,Korabbit/Llama-2-7b-chat-hf-afr-200step-v2,44.2,51.79,77.41,48.55,43.69,71.9,7.88,8.14,instruction-tuned,16bit,7.0,https://huggingface.co/Korabbit/Llama-2-7b-chat-hf-afr-200step-v2
1024,LTC-AI-Labs/L2-7b-Base-WVG-Uncensored,44.2,53.24,79.13,46.65,42.59,75.14,7.05,5.63,fine-tuned,16bit,6.61,https://huggingface.co/LTC-AI-Labs/L2-7b-Base-WVG-Uncensored
1025,Lazycuber/L2-7b-Guanaco-Uncensored,44.14,50.6,76.99,48.93,43.42,75.37,7.96,5.68,fine-tuned,16bit,6.61,https://huggingface.co/Lazycuber/L2-7b-Guanaco-Uncensored
1026,Charlie911/vicuna-7b-v1.5-lora-timedial,44.13,52.9,76.29,50.47,41.6,73.56,7.28,6.84,fine-tuned,16bit,6.61,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-timedial
1027,dhmeltzer/Llama-2-7b-hf-eli5-cleaned-1024_qlora_merged,44.13,53.67,78.21,45.9,46.13,73.8,4.7,6.53,instruction-tuned,16bit,6.74,https://huggingface.co/dhmeltzer/Llama-2-7b-hf-eli5-cleaned-1024_qlora_merged
1028,Lazycuber/L2-7b-Base-Guanaco-Uncensored,44.06,52.22,79.08,46.63,42.97,74.51,7.28,5.75,fine-tuned,16bit,6.61,https://huggingface.co/Lazycuber/L2-7b-Base-Guanaco-Uncensored
1029,dhmeltzer/llama-7b-SFT-qlora-eli5-wiki_DPO_ds_RM_top_2_1024_r_64_alpha_16,44.03,54.1,78.74,45.44,43.4,73.64,4.55,8.35,RL-tuned,16bit,7.0,https://huggingface.co/dhmeltzer/llama-7b-SFT-qlora-eli5-wiki_DPO_ds_RM_top_2_1024_r_64_alpha_16
1030,luffycodes/llama-shishya-7b-ep3-v1,44.02,48.04,76.63,46.12,30.9,69.46,0.0,37.0,fine-tuned,16bit,6.61,https://huggingface.co/luffycodes/llama-shishya-7b-ep3-v1
1031,jondurbin/airoboros-7b,44.01,53.07,77.65,37.23,43.39,70.96,2.12,23.66,fine-tuned,16bit,6.61,https://huggingface.co/jondurbin/airoboros-7b
1032,GeneZC/MiniChat-1.5-3B,43.99,46.5,68.28,46.67,50.71,65.04,24.18,6.53,fine-tuned,16bit,3.0,https://huggingface.co/GeneZC/MiniChat-1.5-3B
1033,quantumaikr/KoreanLM-hf,43.99,51.45,76.77,40.61,44.34,69.77,3.41,21.59,fine-tuned,16bit,6.61,https://huggingface.co/quantumaikr/KoreanLM-hf
1034,dhmeltzer/llama-7b-SFT_eli5_wiki65k_1024_r_64_alpha_16_merged,43.96,53.75,78.76,46.02,43.31,73.48,4.7,7.72,fine-tuned,16bit,6.74,https://huggingface.co/dhmeltzer/llama-7b-SFT_eli5_wiki65k_1024_r_64_alpha_16_merged
1035,Monero/WizardLM-13b-OpenAssistant-Uncensored,43.91,48.55,76.03,43.15,49.4,69.77,3.03,17.45,fine-tuned,16bit,12.85,https://huggingface.co/Monero/WizardLM-13b-OpenAssistant-Uncensored
1036,willnguyen/lacda-2-7B-chat-v0.1,43.91,53.07,77.57,46.03,44.57,74.19,6.29,5.65,fine-tuned,16bit,6.74,https://huggingface.co/willnguyen/lacda-2-7B-chat-v0.1
1037,Aspik101/Llama-2-7b-hf-instruct-pl-lora_unload,43.85,53.75,78.34,46.8,42.34,73.95,6.22,5.54,fine-tuned,16bit,6.61,https://huggingface.co/Aspik101/Llama-2-7b-hf-instruct-pl-lora_unload
1038,TheTravellingEngineer/llama2-7b-hf-guanaco,43.83,52.47,78.75,45.33,43.9,74.19,6.07,6.11,fine-tuned,16bit,6.74,https://huggingface.co/TheTravellingEngineer/llama2-7b-hf-guanaco
1039,conceptofmind/LLongMA-2-13b-16k,43.83,54.27,79.63,50.97,37.71,72.77,5.99,5.47,fine-tuned,16bit,13.0,https://huggingface.co/conceptofmind/LLongMA-2-13b-16k
1040,elliotthwang/elliott_Llama-2-7b-hf,43.83,53.16,78.33,47.09,42.11,73.64,6.9,5.58,fine-tuned,16bit,6.74,https://huggingface.co/elliotthwang/elliott_Llama-2-7b-hf
1041,togethercomputer/Llama-2-7B-32K-Instruct,43.82,51.11,78.51,46.11,44.86,73.88,5.69,6.59,fine-tuned,16bit,6.61,https://huggingface.co/togethercomputer/Llama-2-7B-32K-Instruct
1042,ajibawa-2023/scarlett-7b,43.81,57.17,80.27,36.11,48.52,72.14,0.3,12.16,fine-tuned,16bit,6.61,https://huggingface.co/ajibawa-2023/scarlett-7b
1043,kashif/stack-llama-2,43.81,53.07,78.57,46.8,38.75,74.03,10.01,5.44,fine-tuned,16bit,6.61,https://huggingface.co/kashif/stack-llama-2
1044,CobraMamba/mamba-gpt-7b,43.78,51.19,75.4,47.47,42.06,71.67,11.98,6.72,fine-tuned,16bit,6.61,https://huggingface.co/CobraMamba/mamba-gpt-7b
1045,quantumaikr/llama-2-7b-hf-guanaco-1k,43.78,51.62,76.73,47.45,44.79,72.77,7.43,5.66,fine-tuned,16bit,6.61,https://huggingface.co/quantumaikr/llama-2-7b-hf-guanaco-1k
1046,jondurbin/airoboros-7b-gpt4-1.2,43.75,52.13,78.14,38.64,41.79,71.67,2.12,21.76,fine-tuned,16bit,6.61,https://huggingface.co/jondurbin/airoboros-7b-gpt4-1.2
1047,TinyPixel/elm-test,43.74,53.16,78.98,47.04,39.51,74.35,7.51,5.65,fine-tuned,16bit,6.61,https://huggingface.co/TinyPixel/elm-test
1048,conceptofmind/LLongMA-2-13b-16k,43.71,54.27,79.66,50.86,37.68,72.61,5.46,5.45,fine-tuned,16bit,13.0,https://huggingface.co/conceptofmind/LLongMA-2-13b-16k
1049,psyche/kollama2-7b,43.71,53.24,78.78,42.31,44.56,73.95,5.99,7.11,fine-tuned,16bit,6.61,https://huggingface.co/psyche/kollama2-7b
1050,TheTravellingEngineer/llama2-7b-chat-hf-guanaco,43.7,50.51,76.72,48.03,43.36,72.93,8.57,5.76,fine-tuned,16bit,6.74,https://huggingface.co/TheTravellingEngineer/llama2-7b-chat-hf-guanaco
1051,mrm8488/llama-2-coder-7b,43.66,54.01,78.35,46.25,38.49,75.45,7.13,5.94,fine-tuned,16bit,6.61,https://huggingface.co/mrm8488/llama-2-coder-7b
1052,HuggingFaceH4/starchat-beta,43.65,52.47,80.59,42.85,47.22,69.69,5.16,7.54,fine-tuned,16bit,15.52,https://huggingface.co/HuggingFaceH4/starchat-beta
1053,TinyPixel/lima-test,43.63,53.07,78.88,46.42,39.4,74.03,7.96,5.65,fine-tuned,16bit,6.61,https://huggingface.co/TinyPixel/lima-test
1054,wenge-research/yayi-7b-llama2,43.62,54.78,77.94,41.35,44.02,74.51,6.67,6.04,fine-tuned,16bit,6.61,https://huggingface.co/wenge-research/yayi-7b-llama2
1055,Charlie911/vicuna-7b-v1.5-lora-mixed-datasets-time-unit,43.61,51.79,76.41,49.58,40.33,73.4,7.13,6.61,fine-tuned,16bit,6.61,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mixed-datasets-time-unit
1056,ajibawa-2023/Uncensored-Frank-7B,43.6,54.27,76.52,37.5,43.86,70.24,5.0,17.8,fine-tuned,16bit,6.61,https://huggingface.co/ajibawa-2023/Uncensored-Frank-7B
1057,PeanutJar/LLaMa-2-PeanutButter_v18_A-7B,43.58,53.16,78.11,45.54,40.37,74.9,7.2,5.78,instruction-tuned,16bit,7.0,https://huggingface.co/PeanutJar/LLaMa-2-PeanutButter_v18_A-7B
1058,Lajonbot/Llama-2-7b-chat-hf-instruct-pl-lora_unload,43.57,52.99,77.49,47.12,42.61,72.06,6.9,5.82,fine-tuned,16bit,6.61,https://huggingface.co/Lajonbot/Llama-2-7b-chat-hf-instruct-pl-lora_unload
1059,RoversX/llama-2-7b-hf-small-shards-Samantha-V1-SFT,43.57,53.16,77.71,43.47,45.28,73.8,6.37,5.22,fine-tuned,4bit,6.61,https://huggingface.co/RoversX/llama-2-7b-hf-small-shards-Samantha-V1-SFT
1060,TinyPixel/testmodel2,43.56,53.24,78.78,46.61,39.17,73.8,7.66,5.66,fine-tuned,16bit,6.61,https://huggingface.co/TinyPixel/testmodel2
1061,dhmeltzer/Llama-2-7b-hf-eli5-cleaned-wiki65k-1024_qlora_merged,43.55,53.67,78.09,45.63,41.72,73.56,5.61,6.6,instruction-tuned,16bit,6.74,https://huggingface.co/dhmeltzer/Llama-2-7b-hf-eli5-cleaned-wiki65k-1024_qlora_merged
1062,mosaicml/mpt-7b-8k-instruct,43.54,45.9,74.47,41.97,35.21,65.98,20.7,20.54,fine-tuned,16bit,6.65,https://huggingface.co/mosaicml/mpt-7b-8k-instruct
1063,Charlie911/vicuna-7b-v1.5-lora-mixed-datasets,43.51,51.71,76.44,50.13,39.57,73.24,7.13,6.39,fine-tuned,16bit,6.61,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mixed-datasets
1064,togethercomputer/Llama-2-7B-32K-Instruct,43.51,51.37,78.47,45.53,45.01,72.85,4.7,6.64,instruction-tuned,8bit,6.61,https://huggingface.co/togethercomputer/Llama-2-7B-32K-Instruct
1065,wenge-research/yayi-7b-llama2,43.51,55.03,77.84,40.92,44.02,73.72,6.97,6.04,fine-tuned,16bit,6.61,https://huggingface.co/wenge-research/yayi-7b-llama2
1066,lgaalves/llama-2-7b-hf_open-platypus,43.49,51.45,78.63,43.6,43.71,74.43,6.6,5.99,instruction-tuned,16bit,6.74,https://huggingface.co/lgaalves/llama-2-7b-hf_open-platypus
1067,Charlie911/vicuna-7b-v1.5-lora-mctaco-modified2,43.48,42.92,73.97,48.49,40.43,69.69,0.68,28.19,fine-tuned,16bit,6.61,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mctaco-modified2
1068,TinyPixel/testmodel-3,43.48,53.24,78.72,46.57,38.75,73.88,7.58,5.64,fine-tuned,16bit,6.61,https://huggingface.co/TinyPixel/testmodel-3
1069,elyza/ELYZA-japanese-Llama-2-7b-instruct,43.48,53.16,78.25,47.07,39.08,73.24,7.88,5.71,instruction-tuned,16bit,6.61,https://huggingface.co/elyza/ELYZA-japanese-Llama-2-7b-instruct
1070,OpenBuddy/openbuddy-openllama-7b-v12-bf16,43.47,42.06,62.01,46.53,45.18,65.04,10.84,32.63,fine-tuned,16bit,6.63,https://huggingface.co/OpenBuddy/openbuddy-openllama-7b-v12-bf16
